2023-07-28T11:10:01.581+0300,2023-07-28T11:10:04.640+0300,41.859
2023-07-28T11:09:01.615+0300,2023-07-28T11:09:04.672+0300,41.407
2023-07-28T11:08:01.640+0300,2023-07-28T11:08:04.695+0300,41.662
2023-07-28T11:07:01.701+0300,2023-07-28T11:07:04.759+0300,41.546
2023-07-28T11:06:01.922+0300,2023-07-28T11:06:04.978+0300,42.091
2023-07-28T11:05:02.046+0300,2023-07-28T11:05:05.099+0300,41.954
2023-07-28T11:04:01.211+0300,2023-07-28T11:04:04.266+0300,41.272
2023-07-28T11:03:01.322+0300,2023-07-28T11:03:04.380+0300,41.340
2023-07-28T11:02:01.431+0300,2023-07-28T11:02:04.493+0300,41.655
2023-07-28T11:01:01.568+0300,2023-07-28T11:01:04.627+0300,42.205
2023-07-28T11:00:01.775+0300,2023-07-28T11:00:04.832+0300,41.881
