2023-05-23T23:33:01.391+0300,2023-05-23T23:33:04.447+0300,42.142
2023-05-23T23:32:01.826+0300,2023-05-23T23:32:04.882+0300,42.170
2023-05-23T23:31:01.238+0300,2023-05-23T23:31:04.295+0300,42.665
2023-05-23T23:30:01.665+0300,2023-05-23T23:30:04.720+0300,41.989
2023-05-23T23:29:01.084+0300,2023-05-23T23:29:04.140+0300,41.800
2023-05-23T23:28:01.419+0300,2023-05-23T23:28:04.475+0300,41.100
2023-05-23T23:27:01.682+0300,2023-05-23T23:27:04.737+0300,42.303
2023-05-23T23:26:01.986+0300,2023-05-23T23:26:05.038+0300,41.140
2023-05-23T23:25:01.446+0300,2023-05-23T23:25:04.502+0300,42.072
2023-05-23T23:24:01.816+0300,2023-05-23T23:24:04.871+0300,41.941
2023-05-23T23:23:01.111+0300,2023-05-23T23:23:04.169+0300,42.151
2023-05-23T23:22:01.538+0300,2023-05-23T23:22:04.593+0300,40.924
2023-05-23T23:21:01.675+0300,2023-05-23T23:21:04.729+0300,41.655
2023-05-23T23:20:01.070+0300,2023-05-23T23:20:04.126+0300,41.921
2023-05-23T23:19:01.497+0300,2023-05-23T23:19:04.553+0300,41.778
2023-05-23T23:18:01.958+0300,2023-05-23T23:18:05.012+0300,42.561
2023-05-23T23:17:01.422+0300,2023-05-23T23:17:04.478+0300,41.737
2023-05-23T23:16:01.771+0300,2023-05-23T23:16:04.826+0300,41.957
2023-05-23T23:15:01.141+0300,2023-05-23T23:15:04.196+0300,42.217
2023-05-23T23:14:01.320+0300,2023-05-23T23:14:04.376+0300,41.218
2023-05-23T23:13:01.644+0300,2023-05-23T23:13:04.699+0300,42.323
2023-05-23T23:12:01.040+0300,2023-05-23T23:12:04.099+0300,42.500
2023-05-23T23:11:01.437+0300,2023-05-23T23:11:04.492+0300,41.476
2023-05-23T23:10:01.780+0300,2023-05-23T23:10:04.835+0300,42.127
2023-05-23T23:09:01.221+0300,2023-05-23T23:09:04.276+0300,42.149
2023-05-23T23:08:01.601+0300,2023-05-23T23:08:04.656+0300,41.717
2023-05-23T23:07:02.026+0300,2023-05-23T23:07:05.101+0300,47.088
2023-05-23T23:06:01.341+0300,2023-05-23T23:06:04.397+0300,42.242
2023-05-23T23:05:01.715+0300,2023-05-23T23:05:04.770+0300,42.204
2023-05-23T23:04:01.141+0300,2023-05-23T23:04:04.197+0300,41.966
2023-05-23T23:03:01.574+0300,2023-05-23T23:03:04.629+0300,41.861
2023-05-23T23:02:01.969+0300,2023-05-23T23:02:05.021+0300,42.025
2023-05-23T23:01:01.356+0300,2023-05-23T23:01:04.411+0300,41.266
2023-05-23T23:00:01.738+0300,2023-05-23T23:00:04.793+0300,41.881
